OrderID,OrderDate,Product,Revenue,Cost,Quantity,CustomerID,Region,OrderPriority,Discount,Category,Profit
1,2023-12-24,Headphones,4879,1303,5,3927,North,Critical,7,Electronics,3576
2,2024-10-03,Desk,3236,3583,2,4983,East,Medium,9,Furniture,-347
3,2024-09-07,Keyboard,4070,360,17,1897,North,Low,5,Electronics,3710
4,2024-11-19,Chair,4404,1985,10,2962,North,Low,27,Furniture,2419
5,2024-07-23,Headphones,1195,616,4,4614,West,Low,20,Electronics,579
6,2024-06-28,Printer,4444,230,9,1847,East,High,14,Electronics,4214
7,2024-03-02,Tablet,610,483,11,2966,South,Medium,9,Electronics,127
8,2024-10-17,Headphones,1962,3605,12,4616,South,Medium,27,Electronics,-1643
9,2024-07-28,Keyboard,1914,3647,12,3772,South,Critical,20,Electronics,-1733
10,2024-07-31,Chair,346,855,18,3704,East,High,16,Furniture,-509
11,2024-04-30,Desk,2459,140,4,3658,West,Medium,27,Furniture,2319
12,2024-10-30,Keyboard,2686,2941,9,4893,West,Critical,21,Electronics,-255
13,2024-05-25,Keyboard,1511,3929,8,4381,East,Critical,5,Electronics,-2418
14,2024-05-16,Tablet,4342,937,19,4071,West,Low,18,Electronics,3405
15,2024-04-30,Monitor,2318,1802,13,3994,East,Critical,19,Electronics,516
16,2024-06-16,Chair,1044,1597,2,3227,East,Critical,19,Furniture,-553
17,2024-05-29,Smartphone,57,1262,19,1646,South,High,5,Electronics,-1205
18,2024-08-26,Keyboard,2641,3745,14,1437,South,Low,13,Electronics,-1104
19,2024-01-05,Monitor,2565,3719,5,2500,North,Low,23,Electronics,-1154
20,2024-01-26,Smartphone,4465,2110,10,3442,East,Low,27,Electronics,2355
21,2024-08-28,Chair,1467,584,17,2725,South,Critical,12,Furniture,883
22,2024-04-20,Laptop,2366,1933,16,2565,South,Low,12,Electronics,433
23,2024-06-17,Printer,3982,136,17,3641,South,Medium,8,Electronics,3846
24,2023-12-31,Monitor,1337,3366,1,3104,West,High,8,Electronics,-2029
25,2024-06-25,Mouse,2894,2303,15,4245,South,High,20,Electronics,591
26,2024-12-09,Laptop,1168,2564,17,2743,West,Critical,23,Electronics,-1396
27,2024-01-19,Printer,602,2256,11,1325,South,Low,28,Electronics,-1654
28,2024-02-15,Tablet,710,3323,5,1321,West,High,7,Electronics,-2613
29,2024-09-12,Headphones,765,1423,4,3230,West,Critical,9,Electronics,-658
30,2024-10-19,Desk,3635,2714,9,3282,South,Critical,19,Furniture,921
31,2024-06-03,Mouse,3811,2865,16,3666,East,High,3,Electronics,946
32,2024-10-04,Tablet,2579,196,12,2209,North,Low,2,Electronics,2383
33,2024-09-18,Chair,4020,2740,18,1265,North,Low,12,Furniture,1280
34,2024-04-25,Tablet,3457,3654,3,4715,East,Medium,20,Electronics,-197
35,2024-10-09,Headphones,1508,2377,15,4056,South,Medium,7,Electronics,-869
36,2024-05-14,Chair,3317,1434,18,1841,East,Low,23,Furniture,1883
37,2024-06-03,Mouse,904,2112,12,1328,South,Medium,8,Electronics,-1208
38,2024-06-11,Headphones,4810,2484,13,4901,South,Medium,13,Electronics,2326
39,2024-07-07,Smartphone,3587,1555,1,4436,South,High,0,Electronics,2032
40,2024-02-24,Desk,1947,343,4,1682,South,Low,13,Furniture,1604
41,2024-11-05,Mouse,322,845,8,4881,South,High,11,Electronics,-523
42,2024-11-21,Smartphone,4137,772,19,3071,East,High,3,Electronics,3365
43,2023-12-17,Printer,1322,2804,5,2284,East,Critical,21,Electronics,-1482
44,2024-07-23,Mouse,4424,855,11,2378,North,Low,20,Electronics,3569
45,2024-04-12,Printer,4069,1154,17,3243,South,High,3,Electronics,2915
46,2024-11-19,Chair,865,598,17,3658,East,Medium,12,Furniture,267
47,2024-09-30,Smartphone,4421,1268,2,4561,East,Critical,15,Electronics,3153
48,2024-12-02,Desk,972,1988,1,2911,South,Medium,10,Furniture,-1016
49,2024-06-30,Headphones,4787,3769,4,2356,South,Critical,2,Electronics,1018
