OrderID,OrderDate,Product,Revenue,Cost,Quantity,CustomerID,Region,OrderPriority,Discount,Category,Profit,Loss
1,2023-12-24,Headphones,0.9757526773085472,0.32073570168808263,0.2222222222222222,3927,North,Critical,7,Electronics,3576,0
2,2024-10-03,Desk,0.6437664174580724,0.8951877047115142,0.05555555555555555,4983,East,Medium,9,Furniture,0,347
3,2024-09-07,Keyboard,0.8122853101636694,0.08314436885865457,0.8888888888888888,1897,North,Low,5,Electronics,3710,0
4,2024-11-19,Chair,0.8797736916548797,0.4925673973293021,0.5,2962,North,Low,27,Furniture,2419,0
5,2024-07-23,Headphones,0.23135987068094566,0.14764424288233813,0.16666666666666666,4614,West,Low,20,Electronics,579,0
6,2024-06-28,Printer,0.8878561325520307,0.05039052658100277,0.4444444444444444,1847,East,High,14,Electronics,4214,0
7,2024-03-02,Tablet,0.11315417256011315,0.11413454270597127,0.5555555555555556,2966,South,Medium,9,Electronics,127,0
8,2024-10-17,Headphones,0.3863406748838149,0.9007306626354246,0.6111111111111112,4616,South,Medium,27,Electronics,0,1643
9,2024-07-28,Keyboard,0.3766417458072338,0.9113126732174351,0.6111111111111112,3772,South,Critical,20,Electronics,0,1733
10,2024-07-31,Chair,0.05981006263891695,0.20786092214663643,0.9444444444444444,3704,East,High,16,Furniture,0,509
11,2024-04-30,Desk,0.48676500303091536,0.027714789619551525,0.16666666666666666,3658,West,Medium,27,Furniture,2319,0
12,2024-10-30,Keyboard,0.5326328551222469,0.7334341143864953,0.4444444444444444,4893,West,Critical,21,Electronics,0,255
13,2024-05-25,Keyboard,0.2952111537684381,0.982363315696649,0.3888888888888889,4381,East,Critical,5,Electronics,0,2418
14,2024-05-16,Tablet,0.8672459082642958,0.22852103804484758,1.0,4071,West,Low,18,Electronics,3405,0
15,2024-04-30,Monitor,0.4582743988684583,0.4464600655076846,0.6666666666666666,3994,East,Critical,19,Electronics,516,0
16,2024-06-16,Chair,0.20084865629420084,0.3948097757621567,0.05555555555555555,3227,East,Critical,19,Furniture,0,553
17,2024-05-29,Smartphone,0.0014144271570014145,0.31040564373897706,1.0,1646,South,High,5,Electronics,0,1205
18,2024-08-26,Keyboard,0.5235401091129521,0.9360040312421265,0.7222222222222222,1437,South,Low,13,Electronics,0,1104
19,2024-01-05,Monitor,0.5081834714083653,0.9294532627865961,0.2222222222222222,2500,North,Low,23,Electronics,0,1154
20,2024-01-26,Smartphone,0.8920994140230349,0.5240614764424288,0.5,3442,East,Low,27,Electronics,2355,0
21,2024-08-28,Chair,0.286320468781572,0.1395817586293777,0.8888888888888888,2725,South,Critical,12,Furniture,883,0
22,2024-04-20,Laptop,0.4679733279450394,0.47946586041824135,0.8333333333333334,2565,South,Low,12,Electronics,433,0
23,2024-06-17,Printer,0.7945039401899373,0.02670697908793147,0.8888888888888888,3641,South,Medium,8,Electronics,3846,0
24,2023-12-31,Monitor,0.2600525358658315,0.8405139833711263,0.0,3104,West,High,8,Electronics,0,2029
25,2024-06-25,Mouse,0.5746615477874318,0.5726883345930965,0.7777777777777778,4245,South,High,20,Electronics,591,0
26,2024-12-09,Laptop,0.22590422307536875,0.6384479717813051,0.8888888888888888,2743,West,Critical,23,Electronics,0,1396
27,2024-01-19,Printer,0.11153768438068297,0.5608465608465608,0.5555555555555556,1325,South,Low,28,Electronics,0,1654
28,2024-02-15,Tablet,0.1333602748029905,0.8296800201562107,0.2222222222222222,1321,West,High,7,Electronics,0,2613
29,2024-09-12,Headphones,0.14447363103657304,0.3509700176366843,0.16666666666666666,3230,West,Critical,9,Electronics,0,658
30,2024-10-19,Desk,0.7243887654071529,0.6762408667170572,0.4444444444444444,3282,South,Critical,19,Furniture,921,0
31,2024-06-03,Mouse,0.7599515053546171,0.7142857142857143,0.8333333333333334,3666,East,High,3,Electronics,946,0
32,2024-10-04,Tablet,0.5110123257223682,0.0418241370622323,0.6111111111111112,2209,North,Low,2,Electronics,2383,0
33,2024-09-18,Chair,0.8021822590422307,0.6827916351725876,0.9444444444444444,1265,North,Low,12,Furniture,1280,0
34,2024-04-25,Tablet,0.6884219034148312,0.9130763416477702,0.1111111111111111,4715,East,Medium,20,Electronics,0,197
35,2024-10-09,Headphones,0.29460497070115177,0.5913328294280675,0.7777777777777778,4056,South,Medium,7,Electronics,0,869
36,2024-05-14,Chair,0.660133360274803,0.35374149659863946,0.9444444444444444,1841,East,Low,23,Furniture,1883,0
37,2024-06-03,Mouse,0.17256011315417255,0.5245653817082389,0.6111111111111112,1328,South,Medium,8,Electronics,0,1208
38,2024-06-11,Headphones,0.9618104667609618,0.618291761148904,0.6666666666666666,4901,South,Medium,13,Electronics,2326,0
39,2024-07-07,Smartphone,0.7146898363305718,0.3842277651801461,0.0,4436,South,High,0,Electronics,2032,0
40,2024-02-24,Desk,0.38330975954738333,0.07886117409926933,0.16666666666666666,1682,South,Low,13,Furniture,1604,0
41,2024-11-05,Mouse,0.05496059810062639,0.2053413958175863,0.3888888888888889,4881,South,High,11,Electronics,0,523
42,2024-11-21,Smartphone,0.8258233986663972,0.18694885361552027,1.0,3071,East,High,3,Electronics,3365,0
43,2023-12-17,Printer,0.25702162052939986,0.6989166036785084,0.2222222222222222,2284,East,Critical,21,Electronics,0,1482
